F0,F1,F2,F3,F4,F5,F6,Labels
1.3403546,2.0075772,2.0075772,-0.0029832567,-0.35219803,-6.99547,-0.7983976,2
0.9124713,0.672429,0.672429,-2.754424,0.665297,-5.433637,0.78964186,1
3.7615142,0.9458925,0.9458925,0.7541347,-2.3700087,-9.159569,-0.18385948,0
1.5952405,-0.48808587,-0.48808587,-1.7057036,0.8895539,-9.655726,3.2676687,6
2.4668021,0.7003984,0.7003984,-0.8412011,1.6313753,-8.913041,0.07071338,0
1.3677663,-0.42413956,-0.42413956,0.2189221,1.3641307,-8.392326,0.5677,1
1.6509541,-0.88382894,-0.88382894,1.0013831,-0.5453975,-8.783851,1.0946202,1
1.7362843,-0.7518815,-0.7518815,-0.9952581,2.1360142,-11.167638,1.7928467,6
3.4726896,0.6626933,0.6626933,-3.0020697,-1.5610318,-8.018416,4.1865597,6
1.6138551,1.2237377,1.2237377,-1.456207,1.3706307,-5.857089,-0.73707443,0
4.150152,0.16093895,0.16093895,-2.0974143,-0.77348316,-5.1799917,1.818774,0
-0.9549912,-1.9230255,-1.9230255,-0.9930319,4.508594,-0.7817195,-0.6224358,4
2.1298664,0.26605225,0.26605225,0.35563815,0.5913251,-7.6975603,1.0288334,0
0.03158172,-0.21639824,-0.21639824,-1.9373461,2.4255042,-2.693558,1.8163725,6
1.2644223,0.82295793,0.82295793,0.16277127,-0.49765235,-5.2951326,0.1872749,4
1.556977,1.6630348,1.6630348,1.7136072,0.5852017,-9.775246,1.2194169,3
-0.91656166,2.0597944,2.0597944,1.0294385,2.5608497,-9.088237,-0.09524825,2
1.8756598,-0.44311896,-0.44311896,-0.50638264,2.5884128,-3.6084707,-0.2502116,4
0.97513914,0.44090134,0.44090134,-0.060133137,-0.46630692,-5.4957724,0.23537906,1
-0.67126787,2.881561,2.881561,-0.4661292,-0.17181008,-4.3585153,2.2169511,2
0.21299344,3.5667024,3.5667024,0.75081545,0.52357876,-12.056832,0.8228577,2
0.22804315,0.1942219,0.1942219,-0.29132932,-0.85941434,13.294097,-5.06797,5
2.0902066,0.17704126,0.17704126,0.7800432,1.7847503,-8.321737,-1.0155822,0
